rnum,rank,targetDt,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,scrnCnt,showCnt,movieNmEn,genreAlt,repNationNm,repGenreNm
2,2,20170212,OLD,20151228,공조,2017-01-18 00:00:00,1817148100,22.7,213339,811,3468,Confidential Assignment,액션,한국,액션
3,3,20170212,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,882426100,11,101190,580,2305,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
4,4,20170212,OLD,20151229,더 킹,2017-01-18 00:00:00,350755700,4.4,41732,482,1172,The King,"범죄,드라마",한국,범죄
1,1,20170213,OLD,20150964,조작된 도시,2017-02-09 00:00:00,978097300,40.8,130484,886,4125,Fabricated City,"범죄,액션",한국,범죄
2,2,20170213,OLD,20151228,공조,2017-01-18 00:00:00,490600900,20.4,65398,729,3198,Confidential Assignment,액션,한국,액션
3,3,20170213,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,227658100,9.5,29366,542,2227,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
5,5,20170213,OLD,20151229,더 킹,2017-01-18 00:00:00,118303900,4.9,15844,477,1196,The King,"범죄,드라마",한국,범죄
1,1,20170214,OLD,20150964,조작된 도시,2017-02-09 00:00:00,1084946500,39.9,144305,900,4173,Fabricated City,"범죄,액션",한국,범죄
2,2,20170214,OLD,20151228,공조,2017-01-18 00:00:00,517482300,19,69610,753,3220,Confidential Assignment,액션,한국,액션
3,3,20170214,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,237228500,8.7,30333,546,2200,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
5,5,20170214,OLD,20151229,더 킹,2017-01-18 00:00:00,125666200,4.6,16886,477,1196,The King,"범죄,드라마",한국,범죄
2,2,20170215,OLD,20150964,조작된 도시,2017-02-09 00:00:00,655763900,22.3,88129,686,2878,Fabricated City,"범죄,액션",한국,범죄
4,4,20170215,OLD,20151228,공조,2017-01-18 00:00:00,303371300,10.3,40953,511,1657,Confidential Assignment,액션,한국,액션
